issue summary,description,wcag criteria
"Home - Banner image is missing alternative text","Steps to recreate: 1) Navigate to the Home page. 2) Inspect the hero banner image with a screen reader. Actual: Screen reader announces ""image"" with no description. Expected: Screen reader should announce meaningful alt text describing the promotion (e.g., ""Fall boot sale, up to 40% off"").","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Home - New Arrivals carousel has no pause control","Steps to recreate: 1) Load the Home page. 2) Observe the ""New Arrivals"" carousel. Actual: Carousel auto-rotates every 4 seconds with no way to pause, stop, or hide it. Expected: A visible pause/stop control should be provided.","WCAG 2.2 - 2.2.2 Pause, Stop, Hide (A)"
"Global Header - Skip to main content link missing","Steps to recreate: 1) Load any page. 2) Press Tab as the first action. Actual: Focus moves directly to the search field; there is no way to skip repeated navigation links. Expected: A ""Skip to main content"" link should be the first focusable element on the page.","WCAG 2.2 - 2.4.1 Bypass Blocks (A)"
"Global Header - Hamburger menu button has no accessible name","Steps to recreate: 1) Resize browser to mobile width. 2) Use a screen reader to navigate to the menu icon. Actual: Screen reader announces ""button"" with no label. Expected: Button should announce ""Open menu"" or similar.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Global Header - Focus indicator invisible on nav links","Steps to recreate: 1) Tab through the header navigation using keyboard only. Actual: No visible focus outline appears on the ""Shoes"", ""Toys"", or ""Propane"" nav links. Expected: A visible focus indicator meeting contrast requirements should appear on every focusable element.","WCAG 2.2 - 2.4.7 Focus Visible (AA)"
"Search Results - Search input missing associated label","Steps to recreate: 1) Navigate to the search bar in the header. 2) Inspect it with a screen reader. Actual: Input announces only as ""edit text"" with no label. Expected: Input should have a programmatically associated label such as ""Search Acme Shoes, Toys, and Propane"".","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Search Results - Filter checkboxes not keyboard operable","Steps to recreate: 1) Perform a search. 2) Tab to the ""Filter by Brand"" checkboxes. 3) Press Space. Actual: Custom-styled checkboxes cannot be toggled with the keyboard, only with a mouse click. Expected: Checkboxes should respond to the Space key like native controls.","WCAG 2.2 - 2.1.1 Keyboard (A)"
"Search Results - ""No results found"" message not announced","Steps to recreate: 1) Search for a term with no matches. Actual: The message appears visually but screen reader users are not notified. Expected: Message should be placed in a live region so it is announced automatically.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"Product Listing - Sale price conveyed by color alone","Steps to recreate: 1) Navigate to the Toys category. 2) Observe discounted items. Actual: Sale price is shown only in red text with no other indicator. Expected: A text label such as ""Sale"" or a strikethrough on the original price should also be present.","WCAG 2.2 - 1.4.1 Use of Color (A)"
"Product Listing - Grid/list view toggle icons lack labels","Steps to recreate: 1) Navigate to the Shoes category. 2) Use a screen reader on the view-toggle icons. Actual: Buttons announce as ""button, button"" with no distinguishing text. Expected: Buttons should announce ""Grid view"" and ""List view"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Product Listing - Sort dropdown does not announce selected option","Steps to recreate: 1) Open the ""Sort by"" dropdown. 2) Select ""Price: Low to High"". Actual: Screen reader does not confirm the newly selected sort order. Expected: The selection change should be announced.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Product Listing - Insufficient color contrast on Add to Cart button","Steps to recreate: 1) Navigate to the Propane Accessories category. 2) Inspect the ""Add to Cart"" button text color. Actual: Light gray text (#999999) on a white background measures a 2.8:1 contrast ratio. Expected: Contrast should be at least 4.5:1 for normal text.","WCAG 2.2 - 1.4.3 Contrast (Minimum) (AA)"
"Product Detail Page - Image gallery thumbnails missing alt text","Steps to recreate: 1) Open a shoe product page. 2) Tab through the thumbnail images. Actual: Screen reader announces ""image, image, image"" for all thumbnails. Expected: Each thumbnail should describe the view shown (e.g., ""Side view"", ""Sole view"").","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Product Detail Page - Size selector shows out-of-stock by color only","Steps to recreate: 1) Open a shoe product page with limited sizes in stock. Actual: Out-of-stock sizes are grayed out with no text indication. Expected: ""Out of stock"" should be conveyed via text or an accessible disabled state, not color alone.","WCAG 2.2 - 1.4.1 Use of Color (A)"
"Product Detail Page - Image zoom overlay traps keyboard focus","Steps to recreate: 1) Click a product image to open the zoom overlay. 2) Press Tab repeatedly, then press Escape. Actual: Focus is trapped inside the zoom overlay with no way to exit via keyboard; Escape does not close it. Expected: Escape should close the overlay and return focus to the trigger element.","WCAG 2.2 - 2.1.2 No Keyboard Trap (A)"
"Product Detail Page - Star rating widget not announced correctly","Steps to recreate: 1) Navigate to the review summary with a screen reader. Actual: Star rating is announced as a string of image icons with no rating value. Expected: Rating should announce as text, e.g., ""Rated 4.2 out of 5 stars"".","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Product Detail Page - Add to Cart success message not announced","Steps to recreate: 1) Click ""Add to Cart"" on any product. Actual: A toast confirms the item was added, but screen reader users receive no notification. Expected: Confirmation should be placed in an ARIA live region.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"Product Detail Page - Video demo has no captions","Steps to recreate: 1) Open a toy product page with an embedded demo video. 2) Play the video. Actual: No captions are available. Expected: Captions should be provided for all prerecorded video with audio.","WCAG 2.2 - 1.2.2 Captions (Prerecorded) (A)"
"Product Detail Page - Heading levels skip from H1 to H4","Steps to recreate: 1) Inspect the heading structure on any product page. Actual: Page goes from H1 (product name) directly to H4 (specifications), skipping H2 and H3. Expected: Heading levels should not skip, to aid navigation for screen reader users.","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Shopping Cart - Quantity stepper buttons too small for touch","Steps to recreate: 1) Open the cart on a touchscreen device. 2) Attempt to tap the ""+"" quantity button. Actual: Button target measures approximately 18x18px, making accurate activation difficult. Expected: Touch targets should be at least 24x24 CSS pixels.","WCAG 2.2 - 2.5.8 Target Size (Minimum) (AA)"
"Shopping Cart - Remove item link text not descriptive","Steps to recreate: 1) View the cart with multiple items. 2) Tab to the ""Remove"" links. Actual: All links say only ""Remove"" with no product context, which is ambiguous for screen reader users browsing by a links list. Expected: Link should include the product name, e.g., ""Remove Acme Trail Runner, Size 10"".","WCAG 2.2 - 2.4.4 Link Purpose (In Context) (A)"
"Shopping Cart - Updated subtotal not announced after quantity change","Steps to recreate: 1) Change an item's quantity in the cart. Actual: Subtotal updates visually but is not announced to screen reader users. Expected: The updated total should be placed in a live region.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"Checkout - Form fields missing visible labels","Steps to recreate: 1) Navigate to the shipping address form. 2) Inspect fields with a screen reader. Actual: Fields rely on placeholder text only (""Street Address""), which disappears on input and is not a substitute for a label. Expected: Persistent, visible labels should be associated with each field.","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Checkout - Error messages not linked to invalid fields","Steps to recreate: 1) Submit the checkout form with an invalid email address. Actual: Error text appears at the top of the form but is not programmatically associated with the email field. Expected: Error should be linked via aria-describedby and the field should have aria-invalid=""true"".","WCAG 2.2 - 3.3.1 Error Identification (A)"
"Checkout - Session times out with no warning","Steps to recreate: 1) Begin checkout and remain idle for 10 minutes. Actual: Session expires and the cart is cleared with no warning. Expected: User should be warned before timeout and given the option to extend the session.","WCAG 2.2 - 2.2.1 Timing Adjustable (A)"
"Checkout - Payment form fields lack autocomplete attributes","Steps to recreate: 1) Inspect the payment form fields in the DOM. Actual: Name, address, and card fields lack autocomplete attributes. Expected: Fields should use appropriate autocomplete values (e.g., ""cc-number"") to support autofill and identify input purpose.","WCAG 2.2 - 1.3.5 Identify Input Purpose (AA)"
"Checkout - Progress step indicator relies on color only","Steps to recreate: 1) View the checkout step indicator (Shipping / Payment / Review). Actual: Current step is shown only by a highlighted color; no text or icon differentiates it. Expected: Current step should also use text (e.g., ""Step 2 of 3, current"") or a distinct icon.","WCAG 2.2 - 1.4.1 Use of Color (A)"
"Checkout - Order confirmation modal not announced","Steps to recreate: 1) Complete an order. 2) Confirmation modal appears. Actual: Focus does not move into the modal and the screen reader does not announce it. Expected: Focus should move to the modal and its content should be announced.","WCAG 2.2 - 2.4.3 Focus Order (A)"
"Account - Show/hide password toggle has no accessible name","Steps to recreate: 1) Navigate to the login page. 2) Tab to the ""show password"" eye icon. Actual: Screen reader announces ""button"" only. Expected: Button should announce ""Show password"" / ""Hide password"" state.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Account - Two-factor authentication code input has no label","Steps to recreate: 1) Trigger 2FA during login. 2) Inspect the 6-digit code input. Actual: Input has no associated label, only a placeholder. Expected: Input should have a programmatic label such as ""Enter 6-digit verification code"".","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Account - Order history table missing header associations","Steps to recreate: 1) Navigate to Order History. 2) Use a screen reader to read table cells. Actual: Cell values (date, order number, total) are read without their column headers. Expected: Table headers should use <th scope=""col""> so cells are announced with context.","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Account - Edit and delete icons on address book have identical labels","Steps to recreate: 1) Navigate to Manage Addresses. 2) Inspect the icon buttons with a screen reader. Actual: Both buttons announce as ""button"" with no distinguishing text. Expected: Buttons should have unique accessible names, e.g., ""Edit Home address"", ""Delete Home address"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Footer - Social media links give no warning they open a new tab","Steps to recreate: 1) Tab to the Instagram icon link in the footer. 2) Activate it. Actual: Link opens a new browser tab with no advance notice to the user. Expected: Link purpose/behavior should be made clear before activation, e.g., through link text or an accessible warning.","WCAG 2.2 - 2.4.4 Link Purpose (In Context) (A)"
"Footer - Newsletter signup email field missing label","Steps to recreate: 1) Scroll to the footer newsletter signup. 2) Inspect the email input. Actual: Input has a placeholder ""Enter email"" only, with no programmatic label. Expected: Field should have an associated <label> or aria-label.","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Footer - Low contrast copyright and legal links","Steps to recreate: 1) Inspect the footer legal links (Privacy Policy, Terms). Actual: Light gray text (#B0B0B0) on a dark background measures 2.1:1 contrast. Expected: Text contrast should meet 4.5:1 minimum.","WCAG 2.2 - 1.4.3 Contrast (Minimum) (AA)"
"Global - Page language not declared in HTML","Steps to recreate: 1) Inspect page source across the site. Actual: The <html> tag has no lang attribute. Expected: lang=""en"" should be set so screen readers apply correct pronunciation rules.","WCAG 2.2 - 3.1.1 Language of Page (A)"
"Global - Duplicate id attributes break label associations","Steps to recreate: 1) Inspect the DOM on the Home page. Actual: Multiple elements share id=""cta-button"", causing label associations to break for screen reader users. Expected: All id attributes should be unique on the page.","WCAG 2.2 - 4.1.1 Parsing (A)"
"Global - Content does not reflow at 400% zoom","Steps to recreate: 1) Set browser zoom to 400%. 2) Browse the Shoes category page. Actual: Content requires horizontal scrolling in two dimensions; the product grid overflows the viewport. Expected: Content should reflow to a single column, requiring only vertical scrolling.","WCAG 2.2 - 1.4.10 Reflow (AA)"
"Global - Text cannot be resized to 200% without loss of content","Steps to recreate: 1) Increase browser text size to 200% via zoom. 2) Browse the Account page. Actual: Navigation menu text overlaps and some labels are cut off. Expected: Content should remain readable and functional at 200% text size.","WCAG 2.2 - 1.4.4 Resize Text (AA)"
"Global - Live chat widget traps keyboard focus","Steps to recreate: 1) Open the live chat widget via keyboard. 2) Tab through the widget, then attempt to Tab out. Actual: Focus cannot leave the chat widget once opened; Escape does not close it. Expected: Users should be able to close the widget and return focus without becoming trapped.","WCAG 2.2 - 2.1.2 No Keyboard Trap (A)"
"iOS App Home - Promotional banner image not labeled for VoiceOver","Steps to recreate: 1) Open the app and enable VoiceOver. 2) Swipe to the hero banner. Actual: VoiceOver announces ""image"" with no description. Expected: Image should have an accessibility label describing the promotion.","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"iOS App Home - Tab bar icons missing accessible labels","Steps to recreate: 1) Enable VoiceOver. 2) Swipe through the bottom tab bar (Home, Search, Cart, Account). Actual: Tabs announce only ""button"" or ""tab"" with no name. Expected: Each tab should announce its name and selected state, e.g., ""Home, tab, 1 of 4, selected"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
